01;CLA;IPL3;201611;
1;J;2402709;2;EBT;
1;J;2402808;1;EBT;
1;J;2402907;1;EBT;
1;J;2403004;1;EBT;
1;J;2403103;10;EBT;
1;J;2403202;1;EBT;
1;J;2403251;81;EBT;
1;J;2403301;1;EBT;
1;J;2403400;1;EBT;
1;J;2403509;1;EBT;
1;J;2403608;2;EBT;
1;J;2403707;2;EBT;
1;J;2403756;2;EBT;
1;J;2403806;1;EBT;
1;J;2403905;1;EBT;
1;J;2404002;1;EBT;
1;J;2404101;1;EBT;
1;J;2404200;4;EBT;
1;J;2404309;1;EBT;
1;J;2404408;1;EBT;
1;J;2404507;4;EBT;
1;J;2404606;1;EBT;
1;J;2404705;4;EBT;
1;J;2404804;1;EBT;
1;J;2404853;1;EBT;
1;J;2404903;1;EBT;
1;J;2405009;2;EBT;
1;J;2405108;1;EBT;
1;J;2405207;1;EBT;
1;J;2405306;1;EBT;
1;J;2405405;1;EBT;
1;J;2405504;2;EBT;
1;J;2405603;1;EBT;
1;J;2405702;1;EBT;
1;J;2405801;2;EBT;
1;J;2405900;1;EBT;
1;J;2406007;1;EBT;
1;J;2406106;1;EBT;
1;J;2406155;2;EBT;
1;J;2406205;1;EBT;
1;J;2406304;1;EBT;
1;J;2406403;1;EBT;
1;J;2406502;2;EBT;
1;J;2406601;1;EBT;
1;J;2406700;3;EBT;
1;J;2406809;1;EBT;
1;J;2406908;1;EBT;
1;J;2407104;30;EBT;
1;J;2407203;4;EBT;
1;J;2407252;1;EBT;
1;J;2407302;1;EBT;
1;J;2407401;3;EBT;
1;J;2407500;1;EBT;
1;J;2407609;1;EBT;
1;J;2407708;1;EBT;
1;J;2407807;1;EBT;
1;J;2407906;1;EBT;
1;J;2408003;122;EBT;
1;J;2408102;328;EBT;
1;J;2408201;2;EBT;
1;J;2408300;3;EBT;
1;J;2408409;1;EBT;
1;J;2408508;1;EBT;
1;J;2408607;1;EBT;
1;J;2408805;1;EBT;
1;J;2408904;1;EBT;
1;J;2408953;3;EBT;
1;J;2409100;2;EBT;
1;J;2409209;1;EBT;
1;J;2409308;1;EBT;
1;J;2409332;1;EBT;
1;J;2409407;1;EBT;
1;J;2409506;1;EBT;
1;J;2409605;1;EBT;
1;J;2409704;3;EBT;
1;J;2409803;2;EBT;
1;J;2409902;3;EBT;
1;J;2410009;1;EBT;
1;J;2410108;1;EBT;
1;J;2410207;3;EBT;
1;J;2410306;1;EBT;
1;J;2410405;1;EBT;
1;J;2410504;1;EBT;
1;J;2410603;1;EBT;
1;J;2410702;1;EBT;
1;J;2410801;1;EBT;
1;J;2410900;1;EBT;
1;J;2411007;1;EBT;
1;J;2411106;1;EBT;
1;J;2411205;4;EBT;
1;J;2411403;2;EBT;
1;J;2411429;1;EBT;
1;J;2411502;3;EBT;
1;J;2411601;2;EBT;
1;J;2411700;1;EBT;
1;J;2411809;1;EBT;
1;J;2411908;1;EBT;
1;J;2412005;35;EBT;
1;J;2412104;1;EBT;
1;J;2412203;10;EBT;
1;J;2412302;1;EBT;
1;J;2412401;1;EBT;
1;J;2412609;1;EBT;
1;J;2412708;1;EBT;
1;J;2412807;1;EBT;
1;J;2413003;1;EBT;
1;J;2413102;1;EBT;
1;J;2413201;1;EBT;
1;J;2413300;1;EBT;
1;J;2413359;1;EBT;
1;J;2413409;2;EBT;
1;J;2413508;2;EBT;
1;J;2413557;1;EBT;
1;J;2413607;1;EBT;
1;J;2413706;1;EBT;
1;J;2413805;1;EBT;
1;J;2413904;1;EBT;
1;J;2414001;2;EBT;
1;J;2414100;1;EBT;
1;J;2414159;1;EBT;
1;J;2414209;1;EBT;
1;J;2414308;1;EBT;
1;J;2414407;1;EBT;
1;J;2414456;1;EBT;
1;J;2414506;2;EBT;
1;J;2414605;2;EBT;
1;J;2414704;2;EBT;
1;J;2414753;1;EBT;
1;J;2414803;1;EBT;
1;J;2414902;1;EBT;
1;J;2415008;2;EBT;
1;J;2500106;3;EBT;
1;J;2500205;2;EBT;
1;J;2500304;5;EBT;
1;J;2500403;3;EBT;
1;J;2500502;5;EBT;
1;J;2500536;1;EBT;
1;J;2500601;16;EBT;
1;J;2500700;5;EBT;
1;J;2500775;1;EBT;
1;J;2500809;2;EBT;
1;J;2500908;1;EBT;
1;J;2501005;9;EBT;
1;J;2501104;4;EBT;
1;J;2501203;1;EBT;
1;J;2501302;5;EBT;
1;J;2501401;3;EBT;
1;J;2501500;4;EBT;
1;J;2501575;3;EBT;
1;J;2501609;3;EBT;
1;J;2501708;3;EBT;
1;J;2501807;18;EBT;
1;J;2501906;5;EBT;
1;J;2502003;1;EBT;
1;J;2502102;1;EBT;
1;J;2502151;4;EBT;
1;J;2502201;1;EBT;
1;J;2502300;1;EBT;
1;J;2502409;3;EBT;
1;J;2502508;10;EBT;
1;J;2502607;2;EBT;
1;J;2502706;1;EBT;
1;J;2502805;4;EBT;
1;J;2502904;1;EBT;
1;J;2503001;5;EBT;
1;J;2503100;3;EBT;
1;J;2503209;45;EBT;
1;J;2503308;2;EBT;
1;J;2503407;1;EBT;
1;J;2503506;3;EBT;
1;J;2503555;1;EBT;
1;J;2503605;3;EBT;
1;J;2503704;7;EBT;
1;J;2503803;1;EBT;
1;J;2503902;1;EBT;
1;J;2504009;143;EBT;
1;J;2504074;1;EBT;
1;J;2504108;1;EBT;
1;J;2504207;1;EBT;
