01;CLA;IPL3;201210;
1;J;2607752;9;
1;J;2607901;144;
1;J;2608107;1;
1;J;2608206;2;
1;J;2608305;1;
1;J;2608453;3;
1;J;2608503;3;
1;J;2608750;2;
1;J;2608800;4;
1;J;2608909;15;
1;J;2609006;1;
1;J;2609105;2;
1;J;2609402;7;
1;J;2609501;7;
1;J;2609600;55;
1;J;2609709;1;
1;J;2609907;6;
1;J;2610004;5;
1;J;2610103;1;
1;J;2610509;2;
1;J;2610608;4;
1;J;2610707;66;
1;J;2610905;6;
1;J;2611002;1;
1;J;2611101;41;
1;J;2611309;1;
1;J;2611507;1;
1;J;2611606;439;
1;J;2611804;3;
1;J;2611903;2;
1;J;2612109;1;
1;J;2612208;4;
1;J;2612505;9;
1;J;2612554;2;
1;J;2612604;2;
1;J;2613008;8;
1;J;2613107;2;
1;J;2613206;1;
1;J;2613305;1;
1;J;2613404;1;
1;J;2613503;1;
1;J;2613701;5;
1;J;2613800;1;
1;J;2613909;23;
1;J;2614105;1;
1;J;2614204;2;
1;J;2614501;15;
1;J;2614808;1;
1;J;2614857;5;
1;J;2615300;5;
1;J;2615409;1;
1;J;2615607;2;
1;J;2616183;1;
1;J;2616308;2;
1;J;2616407;18;
1;J;2616506;2;
1;J;2700102;3;
1;J;2700201;2;
1;J;2700300;31;
1;J;2700409;5;
1;J;2700508;2;
1;J;2700607;3;
1;J;2700706;4;
1;J;2700805;1;
1;J;2700904;1;
1;J;2701001;3;
1;J;2701100;2;
1;J;2701209;2;
1;J;2701308;2;
1;J;2701357;1;
1;J;2701407;4;
1;J;2701506;1;
1;J;2701605;2;
1;J;2701704;5;
1;J;2701803;1;
1;J;2701902;1;
1;J;2702009;1;
1;J;2702108;3;
1;J;2702207;1;
1;J;2702306;4;
1;J;2702355;1;
1;J;2702405;8;
1;J;2702504;2;
1;J;2702553;1;
1;J;2702603;2;
1;J;2702702;2;
1;J;2702801;1;
1;J;2702900;3;
1;J;2703106;2;
1;J;2703205;3;
1;J;2703304;1;
1;J;2703403;1;
1;J;2703502;1;
1;J;2703700;1;
1;J;2703809;3;
1;J;2703908;1;
1;J;2704005;2;
1;J;2704104;1;
1;J;2704203;3;
1;J;2704302;219;
1;J;2704401;2;
1;J;2704500;2;
1;J;2704609;2;
1;J;2704708;15;
1;J;2704807;3;
1;J;2704906;1;
1;J;2705002;3;
1;J;2705101;2;
1;J;2705200;2;
1;J;2705309;1;
1;J;2705408;1;
1;J;2705507;7;
1;J;2705606;1;
1;J;2705705;4;
1;J;2705804;1;
1;J;2705903;1;
1;J;2706000;1;
1;J;2706109;1;
1;J;2706208;1;
1;J;2706307;5;
1;J;2706406;4;
1;J;2706422;7;
1;J;2706448;2;
1;J;2706505;2;
1;J;2706703;1;
1;J;2706802;6;
1;J;2706901;3;
1;J;2707008;1;
1;J;2707107;2;
1;J;2707206;1;
1;J;2707305;4;
1;J;2707404;2;
1;J;2707503;4;
1;J;2707602;3;
1;J;2707701;12;
1;J;2707909;2;
